"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Regulation of actin cytoskeleton	KEGG PATHWAY	hsa04810	2	214	0.247040062	0.281537964	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04810/hsa:5290%09red/hsa:8503%09red
G alpha (q) signalling events	Reactome	R-HSA-416476	2	214	0.247040062	0.281537964	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416476
Mitochondrial protein import	Reactome	R-HSA-1268020	1	64	0.25008403	0.283909861	COX17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1268020
Collagen degradation	Reactome	R-HSA-1442490	1	64	0.25008403	0.283909861	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1442490
MAP kinase activation	Reactome	R-HSA-450294	1	64	0.25008403	0.283909861	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450294
Signaling by ROBO receptors	Reactome	R-HSA-376176	2	216	0.250300594	0.283909861	PSMD4|CLASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-376176
Inflammatory bowel disease (IBD)	KEGG PATHWAY	hsa05321	1	65	0.253399797	0.286749711	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05321/hsa:7124%09red
Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	R-HSA-6782210	1	65	0.253399797	0.286749711	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782210
APC/C:Cdc20 mediated degradation of Securin	Reactome	R-HSA-174154	1	66	0.256700987	0.28878861	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174154
Dual incision in TC-NER	Reactome	R-HSA-6782135	1	66	0.256700987	0.28878861	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782135
Glycolysis	Reactome	R-HSA-70171	1	66	0.256700987	0.28878861	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70171
Regulation of HSF1-mediated heat shock response	Reactome	R-HSA-3371453	1	66	0.256700987	0.28878861	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371453
Long-term potentiation	KEGG PATHWAY	hsa04720	1	67	0.259987664	0.291125721	CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04720/hsa:1387%09red
Regulation of RAS by GAPs	Reactome	R-HSA-5658442	1	67	0.259987664	0.291125721	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5658442
RNA Polymerase II Transcription Termination	Reactome	R-HSA-73856	1	67	0.259987664	0.291125721	THOC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73856
Collagen biosynthesis and modifying enzymes	Reactome	R-HSA-1650814	1	67	0.259987664	0.291125721	PLOD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1650814
Shigellosis	KEGG PATHWAY	hsa05131	1	68	0.263259891	0.293765093	IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05131/hsa:8517%09red
Staphylococcus aureus infection	KEGG PATHWAY	hsa05150	1	68	0.263259891	0.293765093	MBL2	http://www.genome.jp/kegg-bin/show_pathway?hsa05150/hsa:4153%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	hsa00010	1	68	0.263259891	0.293765093	PGM1	http://www.genome.jp/kegg-bin/show_pathway?hsa00010/hsa:5236%09red
Orc1 removal from chromatin	Reactome	R-HSA-68949	1	70	0.269761249	0.299977001	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68949
PKMTs methylate histone lysines	Reactome	R-HSA-3214841	1	70	0.269761249	0.299977001	EHMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214841
Signaling by Insulin receptor	Reactome	R-HSA-74752	1	70	0.269761249	0.299977001	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74752
CDK-mediated phosphorylation and removal of Cdc6	Reactome	R-HSA-69017	1	71	0.272990505	0.302868499	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69017
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	Reactome	R-HSA-174178	1	71	0.272990505	0.302868499	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174178
Thermogenesis	KEGG PATHWAY	hsa04714	2	231	0.274777725	0.304500517	SMARCB1|COX17	http://www.genome.jp/kegg-bin/show_pathway?hsa04714/hsa:6598%09red/hsa:10063%09red
Adherens junction	KEGG PATHWAY	hsa04520	1	72	0.276205563	0.305379974	CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04520/hsa:1387%09red
Interleukin-17 signaling	Reactome	R-HSA-448424	1	72	0.276205563	0.305379974	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448424
Transcription of the HIV genome	Reactome	R-HSA-167172	1	73	0.279406484	0.308211276	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167172
Condensation of Prophase Chromosomes	Reactome	R-HSA-2299718	1	73	0.279406484	0.308211276	RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2299718
Thyroid hormone synthesis	KEGG PATHWAY	hsa04918	1	74	0.28259333	0.311014145	PAX8	http://www.genome.jp/kegg-bin/show_pathway?hsa04918/hsa:7849%09red
Leishmaniasis	KEGG PATHWAY	hsa05140	1	74	0.28259333	0.311014145	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05140/hsa:7124%09red
Gastric acid secretion	KEGG PATHWAY	hsa04971	1	75	0.285766163	0.314147049	KCNJ15	http://www.genome.jp/kegg-bin/show_pathway?hsa04971/hsa:3772%09red
Signaling by NTRK1 (TRKA)	Reactome	R-HSA-187037	1	76	0.288925043	0.316896147	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187037
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	Reactome	R-HSA-427389	1	76	0.288925043	0.316896147	EHMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427389
Antigen processing and presentation	KEGG PATHWAY	hsa04612	1	77	0.292070033	0.319254758	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04612/hsa:7124%09red
Meiotic synapsis	Reactome	R-HSA-1221632	1	77	0.292070033	0.319254758	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1221632
Drug metabolism - other enzymes	KEGG PATHWAY	hsa00983	1	79	0.298318582	0.325346314	HPRT1	http://www.genome.jp/kegg-bin/show_pathway?hsa00983/hsa:3251%09red
RMTs methylate histone arginines	Reactome	R-HSA-3214858	1	79	0.298318582	0.325346314	SMARCB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3214858
Interleukin signaling pathway	PANTHER	P00036	1	80	0.301422262	0.32835932	PIK3CA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00036
SLC-mediated transmembrane transport	Reactome	R-HSA-425407	2	249	0.304095599	0.330897246	SLC39A1|SLC39A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-425407
Degradation of beta-catenin by the destruction complex	Reactome	R-HSA-195253	1	81	0.304512293	0.330976679	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195253
FLT3 Signaling	Reactome	R-HSA-9607240	2	252	0.308965222	0.335438003	PSMD4|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Salmonella infection	KEGG PATHWAY	hsa05132	1	83	0.310651643	0.33651016	CD14	http://www.genome.jp/kegg-bin/show_pathway?hsa05132/hsa:929%09red
Fcgamma receptor (FCGR) dependent phagocytosis	Reactome	R-HSA-2029480	1	83	0.310651643	0.33651016	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029480
RNA Polymerase II Pre-transcription Events	Reactome	R-HSA-674695	1	84	0.313701082	0.339050664	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-674695
Hedgehog 'on' state	Reactome	R-HSA-5632684	1	84	0.313701082	0.339050664	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5632684
Glucose metabolism	Reactome	R-HSA-70326	1	85	0.316737108	0.341948245	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-70326
Protein-protein interactions at synapses	Reactome	R-HSA-6794362	1	86	0.31975978	0.344824936	SIPA1L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6794362
"Platelet activation, signaling and aggregation"	Reactome	R-HSA-76002	2	260	0.321916488	0.346477669	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Signaling by Rho GTPases	Reactome	R-HSA-194315	3	449	0.322011956	0.346477669	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315
Parkinson disease	PANTHER	P00049	1	88	0.325765296	0.350124978	FRK	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00049
Switching of origins to a post-replicative state	Reactome	R-HSA-69052	1	89	0.328748256	0.351760634	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69052
Collagen formation	Reactome	R-HSA-1474290	1	89	0.328748256	0.351760634	PLOD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474290
Peptide hormone metabolism	Reactome	R-HSA-2980736	1	89	0.328748256	0.351760634	CDX2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2980736
B-WICH complex positively regulates rRNA expression	Reactome	R-HSA-5250924	1	89	0.328748256	0.351760634	KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250924
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410	1	90	0.331718095	0.354151358	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05410/hsa:7124%09red
RNA Polymerase I Promoter Escape	Reactome	R-HSA-73772	1	90	0.331718095	0.354151358	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73772
Rheumatoid arthritis	KEGG PATHWAY	hsa05323	1	91	0.334674869	0.356123645	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05323/hsa:7124%09red
PCP/CE pathway	Reactome	R-HSA-4086400	1	91	0.334674869	0.356123645	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4086400
Formation of the beta-catenin:TCF transactivating complex	Reactome	R-HSA-201722	1	91	0.334674869	0.356123645	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-201722
Th1 and Th2 cell differentiation	KEGG PATHWAY	hsa04658	1	92	0.337618636	0.358859543	IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04658/hsa:8517%09red
GnRH signaling pathway	KEGG PATHWAY	hsa04912	1	93	0.340549452	0.361575658	MAP3K4	http://www.genome.jp/kegg-bin/show_pathway?hsa04912/hsa:4216%09red
Chaperonin-mediated protein folding	Reactome	R-HSA-390466	1	94	0.343467375	0.363871377	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390466
Class B/2 (Secretin family receptors)	Reactome	R-HSA-373080	1	94	0.343467375	0.363871377	CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373080
Dilated cardiomyopathy (DCM)	KEGG PATHWAY	hsa05414	1	96	0.349264765	0.369200843	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05414/hsa:7124%09red
SLC transporter disorders	Reactome	R-HSA-5619102	1	96	0.349264765	0.369200843	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619102
VEGFA-VEGFR2 Pathway	Reactome	R-HSA-4420097	1	97	0.352144344	0.371836626	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4420097
Protein folding	Reactome	R-HSA-391251	1	100	0.360707285	0.380044984	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-391251
Visual phototransduction	Reactome	R-HSA-2187338	1	100	0.360707285	0.380044984	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2187338
Melanogenesis	KEGG PATHWAY	hsa04916	1	101	0.363536518	0.38177281	CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04916/hsa:1387%09red
UCH proteinases	Reactome	R-HSA-5689603	1	101	0.363536518	0.38177281	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689603
COPI-mediated anterograde transport	Reactome	R-HSA-6807878	1	101	0.363536518	0.38177281	CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807878
Metabolism of carbohydrates	Reactome	R-HSA-71387	2	288	0.366702533	0.384678147	PGM1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71387
Transcriptional regulation by small RNAs	Reactome	R-HSA-5578749	1	103	0.369157689	0.386832268	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5578749
NoRC negatively regulates rRNA expression	Reactome	R-HSA-427413	1	105	0.374729498	0.392244029	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-427413
"Parathyroid hormone synthesis, secretion and action"	KEGG PATHWAY	hsa04928	1	106	0.377497026	0.39428377	RUNX2	http://www.genome.jp/kegg-bin/show_pathway?hsa04928/hsa:860%09red
Signaling by VEGF	Reactome	R-HSA-194138	1	106	0.377497026	0.39428377	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194138
Th17 cell differentiation	KEGG PATHWAY	hsa04659	1	107	0.380252375	0.396731351	IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04659/hsa:8517%09red
Negative epigenetic regulation of rRNA expression	Reactome	R-HSA-5250941	1	108	0.382995598	0.398729471	CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5250941
Autophagy	Reactome	R-HSA-9612973	1	108	0.382995598	0.398729471	GFAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9612973
Senescence-Associated Secretory Phenotype (SASP)	Reactome	R-HSA-2559582	1	110	0.388445877	0.403966932	EHMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559582
Alzheimer disease-presenilin pathway	PANTHER	P00004	1	112	0.393848286	0.408262539	ADAM17	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00004
Hedgehog 'off' state	Reactome	R-HSA-5610787	1	112	0.393848286	0.408262539	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610787
SRP-dependent cotranslational protein targeting to membrane	Reactome	R-HSA-1799339	1	112	0.393848286	0.408262539	SRPRB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1799339
Synthesis of DNA	Reactome	R-HSA-69239	1	118	0.409772451	0.424312764	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69239
Cell-Cell communication	Reactome	R-HSA-1500931	1	125	0.427825628	0.442530698	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1500931
Oocyte meiosis	KEGG PATHWAY	hsa04114	1	128	0.435393628	0.449875605	MAD2L1	http://www.genome.jp/kegg-bin/show_pathway?hsa04114/hsa:4085%09red
Influenza Viral RNA Transcription and Replication	Reactome	R-HSA-168273	1	131	0.442862096	0.457102035	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168273
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	1	133	0.447786423	0.460703339	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:7124%09red
Oxidative phosphorylation	KEGG PATHWAY	hsa00190	1	133	0.447786423	0.460703339	COX17	http://www.genome.jp/kegg-bin/show_pathway?hsa00190/hsa:10063%09red
Gene Silencing by RNA	Reactome	R-HSA-211000	1	133	0.447786423	0.460703339	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211000
Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	1	135	0.452667473	0.46522815	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202733
Degradation of the extracellular matrix	Reactome	R-HSA-1474228	1	140	0.464683238	0.477068185	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474228
Influenza Life Cycle	Reactome	R-HSA-168255	1	141	0.46705473	0.478992232	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168255
Diseases of glycosylation	Reactome	R-HSA-3781865	1	143	0.471766424	0.483309645	PGM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3781865
Beta-catenin independent WNT signaling	Reactome	R-HSA-3858494	1	144	0.474106716	0.485191039	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3858494
Metabolism of amino acids and derivatives	Reactome	R-HSA-71291	2	367	0.485722785	0.496551	AZI2|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71291
Influenza Infection	Reactome	R-HSA-168254	1	152	0.492461695	0.502906269	RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168254
Cadherin signaling pathway	PANTHER	P00012	1	153	0.494710814	0.504133877	FRK	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00012
Oxytocin signaling pathway	KEGG PATHWAY	hsa04921	1	153	0.494710814	0.504133877	NFATC4	http://www.genome.jp/kegg-bin/show_pathway?hsa04921/hsa:4776%09red
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	PANTHER	P00026	1	154	0.496950023	0.505880415	CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00026
Protein localization	Reactome	R-HSA-9609507	1	156	0.501398886	0.509870251	COX17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9609507
cGMP-PKG signaling pathway	KEGG PATHWAY	hsa04022	1	167	0.525177452	0.533487222	NFATC4	http://www.genome.jp/kegg-bin/show_pathway?hsa04022/hsa:4776%09red
Regulation of expression of SLITs and ROBOs	Reactome	R-HSA-9010553	1	169	0.529378066	0.537187647	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9010553
mRNA Splicing - Major Pathway	Reactome	R-HSA-72163	1	183	0.557765666	0.565398248	DDX5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72163
mRNA Splicing	Reactome	R-HSA-72172	1	191	0.573215846	0.580448853	DDX5	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72172
Neurotransmitter receptors and postsynaptic signal transmission	Reactome	R-HSA-112314	1	197	0.584450192	0.591203293	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112314
Cilium Assembly	Reactome	R-HSA-5617833	1	200	0.589956606	0.596147126	TRIP11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617833
Intra-Golgi and retrograde Golgi-to-ER traffic	Reactome	R-HSA-6811442	1	202	0.593587183	0.599187062	TRIP11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811442
RAF/MAP kinase cascade	Reactome	R-HSA-5673001	1	234	0.647514104	0.652938306	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673001
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	1	239	0.655271718	0.660069733	PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Endocytosis	KEGG PATHWAY	hsa04144	1	244	0.66285956	0.667015419	SH3GL1	http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:6455%09red
Transmission across Chemical Synapses	Reactome	R-HSA-112315	1	261	0.687437425	0.691025303	KCNJ15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112315
Translation	Reactome	R-HSA-72766	1	291	0.726542808	0.729573227	SRPRB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72766
Signaling by GPCR	Reactome	R-HSA-372790	4	1170	0.764551972	0.766941197	PIK3CA|PIK3R3|NMT2|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-372790
G alpha (i) signalling events	Reactome	R-HSA-418594	1	405	0.83560038	0.837339403	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418594
GPCR ligand binding	Reactome	R-HSA-500792	1	454	0.867956947	0.868859189	CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
GPCR downstream signalling	Reactome	R-HSA-388396	3	1108	0.87128523	0.87128523	PIK3CA|PIK3R3|NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388396
								
--------------------								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
								
--------------------								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
								
--------------------								
